estado,ciudad,google_id,store_id,alias,nombre,cp_tienda,town,lat,lon
Aguascalientes,Aguascalientes,NA,65001618,jalpa,Construrama Aceros y Materiales Jalpa,20060,Aguascalientes,21.882,-102.318
Aguascalientes,Aguascalientes,NA,65011397,eltriunfodelmartillo,Construrama El Triunfo del Martillo,20299,Aguascalientes,21.8499,-102.2524
Aguascalientes,Aguascalientes,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,Aguascalientes,NA,66213795,solidaridad,Construrama Solidaridad,20263,Aguascalientes,21.866723,-102.243087
Aguascalientes,Aguascalientes,NA,65002138,construramatepeyac,Construrama Tepeyac,20900,Jesús María,22.017,-102.321
Aguascalientes,Aguascalientes,NA,65119476,promexma-aguascalientes,Promexma Aguascalientes,20200,Aguascalientes,21.854,-102.351
Aguascalientes,Asientos,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,Asientos,NA,66213795,solidaridad,Construrama Solidaridad,20263,Aguascalientes,21.866723,-102.243087
Aguascalientes,Calvillo,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,Calvillo,NA,66213795,solidaridad,Construrama Solidaridad,20263,Aguascalientes,21.866723,-102.243087
Aguascalientes,Cosío,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,El Llano,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,El Llano,NA,66213795,solidaridad,Construrama Solidaridad,20263,Aguascalientes,21.866723,-102.243087
Aguascalientes,Jesús María,NA,65001618,jalpa,Construrama Aceros y Materiales Jalpa,20060,Aguascalientes,21.882,-102.318
Aguascalientes,Jesús María,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
Aguascalientes,Jesús María,NA,66213795,solidaridad,Construrama Solidaridad,20263,Aguascalientes,21.866723,-102.243087
Aguascalientes,Jesús María,NA,65002138,construramatepeyac,Construrama Tepeyac,20900,Jesús María,22.017,-102.321
Aguascalientes,Jesús María,NA,65119476,promexma-aguascalientes,Promexma Aguascalientes,20200,Aguascalientes,21.854,-102.351
Aguascalientes,Pabellón de Arteaga,NA,65000345,construramamoran,Construrama Moran,20080,Aguascalientes,21.875,-102.312
