consulta,nombre,url,precio_texto,vendedor,precio,fuente_url
varilla corrugada 3/8,Conector Mecanico Para Varilla Corrugada Lock 3/8 Tipo 2,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-38---tipo-2/up/MLMU3431081152#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455447229&sid=search,$348,NA,348,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-38---tipo-2/up/MLMU3431081152#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455447229&sid=search
varilla corrugada 3/8,Kit 10 Piezas Alcayatas Forjadas Varilla Corrugada 3/8 X6,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x6/up/MLMU489307411#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2501853632&sid=search,$234,VULCANO MEXICO,234,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x6/up/MLMU489307411#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2501853632&sid=search
varilla corrugada 3/8,Kit 10 Piezas Alcayatas Forjadas Varilla Corrugada 3/8 X 8,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x-8/up/MLMU489310147#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2502147912&sid=search,$268,VULCANO MEXICO,268,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x-8/up/MLMU489310147#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2502147912&sid=search
varilla corrugada 3/8,Kit 10 Piezas Alcayatas Forjadas Varilla Corrugada 3/8 X7,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x7/up/MLMU489310153#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2544462918&sid=search,$258,VULCANO MEXICO,258,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38-x7/up/MLMU489310153#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2544462918&sid=search
varilla corrugada 3/8,Conector Mecanico Para Varilla Corrugada Lock 1/2 Tipo 2,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-12---tipo-2/up/MLMU3424459811#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455382949&sid=search,$406,NA,406,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-12---tipo-2/up/MLMU3424459811#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455382949&sid=search
varilla corrugada 3/8,Kit 10 Piezas Alcayatas Forjadas Varilla Corrugada 3/8 X 3,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38--x-3/up/MLMU470988334#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM1945063275&sid=search,$199,VULCANO MEXICO,199,https://www.mercadolibre.com.mx/kit-10-piezas-alcayatas-forjadas-varilla-corrugada-38--x-3/up/MLMU470988334#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM1945063275&sid=search
varilla corrugada 3/8,Conector Mecánico Para Varilla Corrugada,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada/up/MLMU3268530978#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2357491665&sid=search,$299,NA,299,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada/up/MLMU3268530978#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2357491665&sid=search
varilla corrugada 3/8,Conector De Termino Para Varilla Corrugada De 1 In (#8),https://www.mercadolibre.com.mx/conector-de-termino-para-varilla-corrugada-de-1-in-8/up/MLMU3760009027#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4727851994&sid=search,$179,NA,179,https://www.mercadolibre.com.mx/conector-de-termino-para-varilla-corrugada-de-1-in-8/up/MLMU3760009027#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4727851994&sid=search
varilla corrugada 3/8,Conector Mecanico Para Varilla Corrugada Lock 3/4 Tipo 2,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-34---tipo-2/up/MLMU3424468911#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455486773&sid=search,$580,NA,580,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-lock-34---tipo-2/up/MLMU3424468911#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM2455486773&sid=search
varilla corrugada 3/8,Conector Mecanico Para Varilla Corrugada De 1 In (#8) Tipo 2,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-de-1-in-8-tipo-2/up/MLMU3431140752#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4095954460&sid=search,$135,NA,135,https://www.mercadolibre.com.mx/conector-mecanico-para-varilla-corrugada-de-1-in-8-tipo-2/up/MLMU3431140752#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=9b4bbb86-2328-4845-89cc-12aa40fcfd1c&wid=MLM4095954460&sid=search
